Date,Open,High,Low,Close,Adj Close,Volume
2016-02-02,63.020000,63.500000,62.310001,62.549999,59.996941,9458500
2016-02-03,62.880001,62.900002,61.299999,62.490002,59.939384,7213500
2016-02-04,62.020000,62.160000,59.990002,60.169998,57.714077,10455700
2016-02-05,59.759998,59.840000,56.980000,57.169998,54.836529,14415900
2016-02-08,56.099998,56.209999,53.639999,55.040001,52.793472,21214500
2016-02-09,54.500000,56.619999,54.279999,55.680000,53.407345,10915700
2016-02-10,56.540001,58.180000,55.930000,57.410000,55.066738,13376800
2016-02-11,56.459999,56.910000,55.389999,56.000000,53.714287,13090900
2016-02-12,57.369999,57.450001,55.500000,56.419998,54.117138,10229500
2016-02-16,57.570000,58.000000,56.820000,57.790001,55.431225,8058000
2016-02-17,58.599998,58.599998,57.099998,58.169998,55.795712,10332700
2016-02-18,58.169998,58.959999,57.980000,58.599998,56.208164,9658600
2016-02-19,58.500000,59.310001,57.630001,59.310001,56.889179,10080100
2016-02-22,59.310001,60.480000,59.259998,60.169998,57.714077,11523400
2016-02-23,60.259998,60.740002,59.889999,60.209999,57.752449,7504600
2016-02-24,59.740002,60.700001,59.200001,60.400002,57.934692,10390800
2016-02-25,60.680000,62.380001,60.630001,62.380001,59.833878,8524300
2016-02-26,62.639999,63.490002,62.470001,62.599998,60.044895,8896100
2016-02-29,62.459999,62.680000,61.580002,61.590000,59.076126,7720600
2016-03-01,61.970001,63.099998,61.750000,62.919998,60.351830,7438300
2016-03-02,62.520000,62.889999,61.500000,62.220001,59.680405,8465800
2016-03-03,62.049999,62.200001,60.919998,61.470001,59.113026,7924400
2016-03-04,61.419998,61.540001,60.380001,61.259998,58.911076,7279400
2016-03-07,61.070000,61.139999,58.790001,59.250000,56.978149,12829600
2016-03-08,59.029999,60.599998,58.709999,59.810001,57.516685,9307900
2016-03-09,59.580002,59.619999,57.950001,58.330002,56.093430,12766900
2016-03-10,58.700001,59.040001,57.970001,58.880001,56.622337,9402600
2016-03-11,59.130001,60.439999,59.130001,60.080002,57.776333,8834400
2016-03-14,60.189999,61.330002,60.099998,60.810001,58.478344,7090500
2016-03-15,60.500000,61.750000,60.360001,61.400002,59.045715,6188800
2016-03-16,61.470001,62.230000,61.290001,61.860001,59.488071,7018300
2016-03-17,61.759998,63.380001,61.740002,63.180000,60.757469,9926800
2016-03-18,63.549999,63.980000,62.849998,62.990002,60.574749,13192900
2016-03-21,63.549999,65.290001,63.400002,64.720001,62.238419,13635400
2016-03-22,64.830002,65.440002,64.169998,64.900002,62.411518,18212900
2016-03-23,61.330002,63.450001,61.150002,62.439999,60.045834,26987000
2016-03-24,62.060001,62.139999,61.119999,61.650002,59.286129,12231300
2016-03-28,61.580002,61.980000,61.250000,61.340000,58.988018,7899000
2016-03-29,61.259998,61.900002,61.250000,61.490002,59.132275,7837800
2016-03-30,61.770000,62.410000,61.770000,62.040001,59.661171,7859300
2016-03-31,61.990002,62.639999,61.310001,61.470001,59.113026,8257800
2016-04-01,61.220001,61.820000,61.150002,61.590000,59.228432,7555300
2016-04-04,61.730000,61.849998,59.419998,59.970001,57.670536,16523400
2016-04-05,59.619999,60.169998,59.439999,59.669998,57.382050,7554000
2016-04-06,59.599998,60.680000,59.189999,60.310001,57.997513,10201500
